postal_id,subdis_id,dis_id,city_id,prov_id,postal_code,subdis_name,dis_name,city_name,prov_name
1,1,1,1,1,24184,ABAH LUENG,BANDAR BARU,PIDIE JAYA,ACEH
2,2,2,2,1,23891,ABAIL,TEUPAH TENGAH,SIMEULUE,ACEH
3,3,3,3,1,24251,ABEUK BUDI,JULI,BIREUEN,ACEH
4,4,4,4,1,24458,ABEUK GEULANTEU,MADAT,ACEH TIMUR,ACEH
5,5,5,3,1,24261,ABEUK JALOH,JANGKA,BIREUEN,ACEH
6,6,6,5,1,24382,ABEUK LEUPON (LEUPEN),LHOKSUKON,ACEH UTARA,ACEH
7,7,7,5,1,24377,ABEUK REULING,SAWANG,ACEH UTARA,ACEH
8,8,8,3,1,24251,ABEUK TINGKEUM,JEUMPA,BIREUEN,ACEH
9,9,8,3,1,24251,ABEUK USONG,JEUMPA,BIREUEN,ACEH
10,10,9,6,1,24151,ABO TEUBENG,PIDIE,PIDIE,ACEH
11,11,10,1,1,24188,ADAN,BANDAR DUA,PIDIE JAYA,ACEH
12,12,11,7,1,23763,ADAN,TANGAN-TANGAN,ACEH BARAT DAYA,ACEH
13,13,12,6,1,24161,ADANG,PADANG TIJI,PIDIE,ACEH
14,14,13,4,1,24452,AFDELING II BUKIT / BUKET,BIREM BAYEUN,ACEH TIMUR,ACEH
15,15,14,8,1,24655,AGUSEN,BLANG KEJEREN,GAYO LUES,ACEH
16,16,15,8,1,24654,AIH SELAH,PANTAN CUACA,GAYO LUES,ACEH
17,17,16,9,1,23711,AIR BERUDANG,TAPAK TUAN,ACEH SELATAN,ACEH
18,18,17,2,1,23891,AIR DINGIN,SIMEULEU TIMUR,SIMEULUE,ACEH
19,19,18,10,1,24473,AIR MASIN,SERUWAY,ACEH TAMIANG,ACEH
20,20,17,2,1,23891,AIR PINANG,SIMEULEU TIMUR,SIMEULUE,ACEH
21,21,16,9,1,23711,AIR PINANG,TAPAK TUAN,ACEH SELATAN,ACEH
22,22,19,9,1,23752,AIR SIALANG HILIR,SAMA DUA,ACEH SELATAN,ACEH
23,23,19,9,1,23752,AIR SIALANG HULU,SAMA DUA,ACEH SELATAN,ACEH
24,24,19,9,1,23752,AIR SIALANG TENGAH,SAMA DUA,ACEH SELATAN,ACEH
25,25,20,11,1,23371,AJEE CUT,INGIN JAYA,ACEH BESAR,ACEH
26,26,20,11,1,23371,AJEE PAGAR AIR,INGIN JAYA,ACEH BESAR,ACEH
27,27,20,11,1,23371,AJEE RAYEUK,INGIN JAYA,ACEH BESAR,ACEH
28,28,21,11,1,23351,AJUEN,PEUKAN BADA,ACEH BESAR,ACEH
29,29,22,8,1,24653,AKANG SIWAH,BLANG PEGAYON,GAYO LUES,ACEH
30,30,23,12,1,24673,AKHIH MAJILE,LEUSER,ACEH TENGGARA,ACEH
31,31,1,1,1,24184,AKI NEUNGOH,BANDAR BARU,PIDIE JAYA,ACEH
32,32,24,8,1,24655,AKUL,BLANG JERANGO,GAYO LUES,ACEH
33,33,25,9,1,23772,ALAI,KLUET TIMUR,ACEH SELATAN,ACEH
34,34,26,13,1,24553,ALAM JAYA,GAJAH PUTIH,BENER MERIAH,ACEH
35,35,27,12,1,24651,ALAS MEMANCAR,BABUSSALAM,ACEH TENGGARA,ACEH
36,36,28,12,1,24673,ALAS MESIKHAT,BABUL RAHMAH,ACEH TENGGARA,ACEH
37,37,29,5,1,24373,ALEN,SYAMTALIRA BAYU,ACEH UTARA,ACEH
38,38,3,3,1,24251,ALEU RAMBONG,JULI,BIREUEN,ACEH
39,39,30,2,1,23893,ALONG JAYA,SALANG,SIMEULUE,ACEH
40,40,31,5,1,24391,ALUE (MEUNASAH ALUE),TANAH PASIR,ACEH UTARA,ACEH
41,41,6,5,1,24382,ALUE ABEE,LHOKSUKON,ACEH UTARA,ACEH
42,42,32,14,1,23653,ALUE ABET,KEUDE PANGA,ACEH JAYA,ACEH
43,43,33,6,1,24173,ALUE ADAN,MUTIARA TIMUR,PIDIE,ACEH
44,44,34,14,1,23653,ALUE AMBANG,TEUNOM,ACEH JAYA,ACEH
45,45,35,5,1,24392,ALUE ANOU BARAT,BAKTIYA,ACEH UTARA,ACEH
46,46,35,5,1,24392,ALUE ANOU TIMU,BAKTIYA,ACEH UTARA,ACEH
47,47,36,5,1,24373,ALUE AWE,GEUREDONG PASE,ACEH UTARA,ACEH
48,48,37,15,1,24352,ALUE AWE,MUARA DUA,LHOKSEUMAWE,ACEH
49,49,38,5,1,24313,ALUE BADEE,SIMPANG KRAMAT (KERAMAT),ACEH UTARA,ACEH
50,50,39,16,1,23652,ALUE BAGOK,ARONGAN LAMBALEK,ACEH BARAT,ACEH
51,51,40,16,1,23652,ALUE BAKONG,BUBON,ACEH BARAT,ACEH
52,52,41,3,1,24264,ALUE BARAT,SAMALANGA,BIREUEN,ACEH
53,53,42,9,1,23754,ALUE BARO,MEUKEK,ACEH SELATAN,ACEH
54,54,43,5,1,24393,ALUE BAROH,SEUNUDDON (SEUNUDON),ACEH UTARA,ACEH
55,55,44,17,1,23661,ALUE BATA,TADU RAYA,NAGAN RAYA,ACEH
56,56,39,16,1,23652,ALUE BATEE,ARONGAN LAMBALEK,ACEH BARAT,ACEH
57,57,45,4,1,24454,ALUE BATEE,PEUDAWA,ACEH TIMUR,ACEH
58,58,46,4,1,24453,ALUE BATEE,RANTO PEUREULAK,ACEH TIMUR,ACEH
59,59,47,17,1,23662,ALUE BATEUNG BROK,DARUL MAKMUR,NAGAN RAYA,ACEH
60,60,5,3,1,24261,ALUE BAYEU UTANG,JANGKA,BIREUEN,ACEH
61,61,48,18,1,24410,ALUE BERAWE,LANGSA KOTA,LANGSA,ACEH
62,62,5,3,1,24261,ALUE BIE PUSONG,JANGKA,BIREUEN,ACEH
63,63,49,5,1,24386,ALUE BIENG,PAYA BAKONG,ACEH UTARA,ACEH
64,64,35,5,1,24392,ALUE BILI GEULUMPANG,BAKTIYA,ACEH UTARA,ACEH
65,65,35,5,1,24392,ALUE BILI RAYEUK,BAKTIYA,ACEH UTARA,ACEH
66,66,50,5,1,24376,ALUE BILI,NISAM,ACEH UTARA,ACEH
67,67,47,17,1,23662,ALUE BILIE,DARUL MAKMUR,NAGAN RAYA,ACEH
68,68,51,16,1,23682,ALUE BILIE,WOYLA TIMUR,ACEH BARAT,ACEH
